2017-02-16 09:01:48,664 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,665 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,666 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,667 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,667 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,695 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,675 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,663 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,682 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,683 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,703 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,674 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,705 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,713 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,717 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,709 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,724 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,726 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,730 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,730 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,746 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,750 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,754 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,759 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,762 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,766 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,770 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,773 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:48,778 - realTime_ny1.py:88 - logging - get buzz fail, retry...
